"kingdom","phylum","class","order","family","genus","species"
"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Caluromys","Caluromys derbianus"
"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Micoureus","Micoureus alstoni"
"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Marmosa","Marmosa mexicana"
"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Marmosa","Marmosa zeledoni"
"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Metachirus","Metachirus nudicaudatus"
"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Chironectes","Chironectes minimus"
"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis marsupialis"
"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana"
"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Philander","Philander opossum"
"Animalia","Chordata","Mammalia","Pilosa","Myrmecophagidae","Myrmecophaga","Myrmecophaga tridactyla"
"Animalia","Chordata","Mammalia","Pilosa","Myrmecophagidae","Tamandua","Tamandua mexicana"
"Animalia","Chordata","Mammalia","Pilosa","Cyclopedidae","Cyclopes","Cyclopes dorsalis"
"Animalia","Chordata","Mammalia","Pilosa","Megalonychidae","Choloepus","Choloepus hoffmanni"
"Animalia","Chordata","Mammalia","Pilosa","Bradypodidae","Bradypus","Bradypus variegatus"
"Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Cabassous","Cabassous centralis"
"Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Dasypus","Dasypus novemcinctus"
"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Cryptotis","Cryptotis gracilis"
"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Cryptotis","Cryptotis merriami"
"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Cryptotis","Cryptotis nigrescens"
"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Cryptotis","Cryptotis orophila"
"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Cryptotis","Cryptotis monteverdensis"
"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Cryptotis","Cryptotis thomasi"
"Animalia","Chordata","Mammalia","Chiroptera","Emballonuridae","Balantiopteryx","Balantiopteryx plicata"
"Animalia","Chordata","Mammalia","Chiroptera","Emballonuridae","Centronycteris","Centronycteris centralis"
"Animalia","Chordata","Mammalia","Chiroptera","Emballonuridae","Cormura","Cormura brevirostris"
"Animalia","Chordata","Mammalia","Chiroptera","Emballonuridae","Cyttarops","Cyttarops alecto"
"Animalia","Chordata","Mammalia","Chiroptera","Emballonuridae","Diclidurus","Diclidurus albus"
"Animalia","Chordata","Mammalia","Chiroptera","Emballonuridae","Peropteryx","Peropteryx kappleri"
"Animalia","Chordata","Mammalia","Chiroptera","Emballonuridae","Peropteryx","Peropteryx macrotis"
"Animalia","Chordata","Mammalia","Chiroptera","Emballonuridae","Rhynchonycteris","Rhynchonycteris naso"
"Animalia","Chordata","Mammalia","Chiroptera","Emballonuridae","Saccopteryx","Saccopteryx bilineata"
"Animalia","Chordata","Mammalia","Chiroptera","Emballonuridae","Saccopteryx","Saccopteryx leptura"
